number of steps,time,
1000, 0.000133000000000
Numeric Solution,Exact Solution,Relative Error,
0.463314256481,0.463318109735,8.31665014267E-06
0.466875505350,0.466879388222,8.31665014255E-06
0.470391424612,0.470395336725,8.31665014271E-06
0.473862464855,0.473866405836,8.31665014236E-06
0.477289072191,0.477293041670,8.31665014264E-06
0.480671688293,0.480675685904,8.31665014246E-06
0.484010750447,0.484014775828,8.31665014261E-06
0.487306691591,0.487310744384,8.31665014239E-06
0.490559940360,0.490564020209,8.31665014231E-06
0.493770921128,0.493775027682,8.31665014228E-06
0.496940054050,0.496944186961,8.31665014229E-06
0.500067755106,0.500071914029,8.31665014231E-06
0.503154436139,0.503158620733,8.31665014203E-06
0.506200504901,0.506204714828,8.31665014162E-06
0.509206365087,0.509210600014,8.31665014108E-06
0.512172416384,0.512176675978,8.31665014093E-06
0.515099054501,0.515103338435,8.31665014079E-06
0.517986671216,0.517990979166,8.31665014080E-06
0.520835654414,0.520839986058,8.31665014023E-06
0.523646388123,0.523650743143,8.31665013979E-06
0.526419252551,0.526423630632,8.31665013955E-06
0.529154624131,0.529159024962,8.31665013938E-06
0.531852875552,0.531857298823,8.31665013901E-06
0.534514375798,0.534518821204,8.31665013891E-06
0.537139490187,0.537143957425,8.31665013866E-06
0.539728580403,0.539733069174,8.31665013867E-06
0.542282004537,0.542286514545,8.31665013840E-06
0.544800117120,0.544804648070,8.31665013846E-06
0.547283269158,0.547287820759,8.31665013803E-06
0.549731808168,0.549736380134,8.31665013819E-06
0.552146078214,0.552150670258,8.31665013776E-06
0.554526419939,0.554531031780,8.31665013761E-06
0.556873170599,0.556877801957,8.31665013732E-06
0.559186664099,0.559191314697,8.31665013713E-06
0.561467231024,0.561471900589,8.31665013697E-06
0.563715198674,0.563719886935,8.31665013682E-06
0.565930891093,0.565935597782,8.31665013642E-06
0.568114629108,0.568119353958,8.31665013595E-06
0.570266730353,0.570271473101,8.31665013575E-06
0.572387509307,0.572392269693,8.31665013512E-06
0.574477277321,0.574482055088,8.31665013492E-06
0.576536342654,0.576541137545,8.31665013426E-06
0.578565010498,0.578569822261,8.31665013388E-06
0.580563583013,0.580568411398,8.31665013343E-06
0.582532359355,0.582537204113,8.31665013312E-06
0.584471635705,0.584476496591,8.31665013235E-06
0.586381705302,0.586386582074,8.31665013216E-06
0.588262858469,0.588267750886,8.31665013176E-06
0.590115382643,0.590120290467,8.31665013151E-06
0.591939562405,0.591944485400,8.31665013122E-06
0.593735679505,0.593740617438,8.31665013089E-06
0.595504012894,0.595508965534,8.31665013045E-06
0.597244838750,0.597249805868,8.31665013018E-06
